Tipo                      Valor                          Linha      Posição   
LBRACKET                  '['                            149        4221      
NUMBER                    1                              149        4222      
RANGE_DOTS                '..'                           149        4223      
STAR                      '*'                            149        4225      
RBRACKET                  ']'                            149        4226      
CLASS_NAME                'Pizzaiolo'                    149        4228      
AT                        '@'                            150        4242      
RELATION_STEREOTYPE       'mediation'                    150        4243      
LBRACKET                  '['                            150        4253      
NUMBER                    1                              150        4254      
RANGE_DOTS                '..'                           150        4255      
STAR                      '*'                            150        4257      
RBRACKET                  ']'                            150        4258      
REL_SYM                   '--'                           150        4260      
LBRACKET                  '['                            150        4263      
NUMBER                    1                              150        4264      
RANGE_DOTS                '..'                           150        4265      
STAR                      '*'                            150        4267      
RBRACKET                  ']'                            150        4268      
CLASS_NAME                'Pizza'                        150        4270      
RBRACE                    '}'                            151        4276      
AT                        '@'                            153        4279      
RELATION_STEREOTYPE       'material'                     153        4280      
KW_RELATION               'relation'                     153        4289      
CLASS_NAME                'Cliente'                      153        4298      
LBRACKET                  '['                            153        4306      
NUMBER                    1                              153        4307      
RANGE_DOTS                '..'                           153        4308      
STAR                      '*'                            153        4310      
RBRACKET                  ']'                            153        4311      
REL_SYM                   '--'                           153        4313      
RELATION_NAME             'compra_Em'                    153        4316      
REL_SYM                   '--'                           153        4326      
LBRACKET                  '['                            153        4329      
NUMBER                    1                              153        4330      
RANGE_DOTS                '..'                           153        4331      
STAR                      '*'                            153        4333      
RBRACKET                  ']'                            153        4334      
CLASS_NAME                'Pizzaria'                     153        4336      
AT                        '@'                            154        4345      
RELATION_STEREOTYPE       'material'                     154        4346      
KW_RELATION               'relation'                     154        4355      
CLASS_NAME                'Pizzaria'                     154        4364      
LBRACKET                  '['                            154        4373      
NUMBER                    1                              154        4374      
RANGE_DOTS                '..'                           154        4375      
STAR                      '*'                            154        4377      
RBRACKET                  ']'                            154        4378      
REL_SYM                   '--'                           154        4380      
RELATION_NAME             'vende'                        154        4383      
REL_SYM                   '--'                           154        4389      
LBRACKET                  '['                            154        4392      
NUMBER                    1                              154        4393      
RANGE_DOTS                '..'                           154        4394      
STAR                      '*'                            154        4396      
RBRACKET                  ']'                            154        4397      
CLASS_NAME                'Item_Da_Pizzaria'             154        4399      
AT                        '@'                            155        4416      
RELATION_STEREOTYPE       'material'                     155        4417      
KW_RELATION               'relation'                     155        4426      
CLASS_NAME                'Cliente'                      155        4435      
LBRACKET                  '['                            155        4443      
NUMBER                    1                              155        4444      
RANGE_DOTS                '..'                           155        4445      
STAR                      '*'                            155        4447      
RBRACKET                  ']'                            155        4448      
REL_SYM                   '--'                           155        4450      
RELATION_NAME             'compra'                       155        4453      
REL_SYM                   '--'                           155        4460      
LBRACKET                  '['                            155        4463      
NUMBER                    1                              155        4464      
RANGE_DOTS                '..'                           155        4465      
STAR                      '*'                            155        4467      
RBRACKET                  ']'                            155        4468      
CLASS_NAME                'Item_Da_Pizzaria'             155        4470      
CLASS_STEREOTYPE          'relator'                      157        4488      
CLASS_NAME                'Venda_De_Alimento'            157        4496      
LBRACE                    '{'                            157        4514      
AT                        '@'                            158        4520      
RELATION_STEREOTYPE       'mediation'                    158        4521      
LBRACKET                  '['                            158        4531      
NUMBER                    1                              158        4532      
RANGE_DOTS                '..'                           158        4533      
STAR                      '*'                            158        4535      
RBRACKET                  ']'                            158        4536      
REL_SYM                   '--'                           158        4538      
LBRACKET                  '['                            158        4541      
NUMBER                    1                              158        4542      
RANGE_DOTS                '..'                           158        4543      
STAR                      '*'                            158        4545      
RBRACKET                  ']'                            158        4546      
CLASS_NAME                'Pizzaria'                     158        4548      
AT                        '@'                            159        4561      
RELATION_STEREOTYPE       'mediation'                    159        4562      
LBRACKET                  '['                            159        4572      
NUMBER                    1                              159        4573      
RANGE_DOTS                '..'                           159        4574      
STAR                      '*'                            159        4576      
RBRACKET                  ']'                            159        4577      
REL_SYM                   '--'                           159        4579      
LBRACKET                  '['                            159        4582      
NUMBER                    1                              159        4583      
RANGE_DOTS                '..'                           159        4584      
STAR                      '*'                            159        4586      
RBRACKET                  ']'                            159        4587      
CLASS_NAME                'Cliente'                      159        4589      
AT                        '@'                            160        4601      
RELATION_STEREOTYPE       'mediation'                    160        4602      
LBRACKET                  '['                            160        4612      
NUMBER                    1                              160        4613      
RANGE_DOTS                '..'                           160        4614      
STAR                      '*'                            160        4616      
RBRACKET                  ']'                            160        4617      
REL_SYM                   '--'                           160        4619      
LBRACKET                  '['                            160        4622      
NUMBER                    1                              160        4623      
RANGE_DOTS                '..'                           160        4624      
STAR                      '*'                            160        4626      
RBRACKET                  ']'                            160        4627      
CLASS_NAME                'Item_Da_Pizzaria'             160        4629      
RBRACE                    '}'                            161        4646      
